update__date;album_cover__jpeg;album__href;album__name;artist__href;artist__name;release__date;release__date_text
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/71/10/e5/7110e58d-9f21-8749-3abb-ecb9df39fdb3/153475.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/semitae-mentis/1712074214;Semitae Mentis;https://music.apple.com/us/artist/spiritual-deception/1408477934;Spiritual Deception;2024-02-09 00:00:00;February 9, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/6a/2d/7d/6a2d7db9-ad3b-21d2-891f-c8d11acb66c5/619843051515_cover.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/noct/1699968986;Noct;https://music.apple.com/us/artist/nefariant/1494404708;Nefariant;2024-02-09 00:00:00;February 9, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/4f/27/b5/4f27b5a3-67c5-317d-d8eb-cad5ac53c078/197189438707.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/celebratory-beheading/1721389353;Celebratory Beheading;https://music.apple.com/us/artist/contaminated/259892898;Contaminated;2024-02-09 00:00:00;February 9, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f2/56/73/f2567357-b9ce-55bb-50d8-548bda34e143/2197.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/alunarian-bellmaster-deluxe-edition/1713526481;Alunarian Bellmaster (Deluxe Edition);https://music.apple.com/us/artist/aureole/1470661482;Aureole;2024-02-09 00:00:00;February 9, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/c1/18/fc/c118fcd8-11c8-18f4-218c-3d02448a79d5/dj.fjdjqczb.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/verses-in-oath/1719969942;Verses In Oath;https://music.apple.com/us/artist/hulder/1476065947;Hulder;2024-02-09 00:00:00;February 9, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/5b/34/fb/5b34fb6c-1800-2276-391c-d3ee1cc7e35d/197190157291.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/maybe-in-another-life/1712520706;Maybe In Another Life;https://music.apple.com/us/artist/bloom/1073025284;Bloom;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/6f/2d/2e/6f2d2e66-a38d-ae16-15a3-1ff10261227e/5401148003154_cover.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/ihsahn/1697520720;Ihsahn;https://music.apple.com/us/artist/ihsahn/152674496;Ihsahn;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/6f/6d/22/6f6d22d9-31a6-9bd9-1f79-214632032e0f/5054197670244.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/mean-streets/1716786221;Mean Streets;https://music.apple.com/us/artist/riot-v/928674703;Riot V;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/7b/9f/e2/7b9fe238-5449-b587-f3fb-5d12ff3216ef/cover.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/a-digital-nowhere/1709632797;A Digital Nowhere;https://music.apple.com/us/artist/profiler/1564758938;Profiler;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/76/ec/ea/76ecead8-867c-476f-d60a-a4df08f98fee/810135712347.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/another-side-of-you/1717349260;Another Side of You;https://music.apple.com/us/artist/illumishade/1494763050;ILLUMISHADE;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/32/55/1e/32551eba-6418-fc18-e6b0-4b0233782bc4/197188884567.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/die-laughing/1688219591;Die Laughing.;https://music.apple.com/us/artist/zombieshark/1319426647;Zombieshark!;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/47/ac/69/47ac6929-626a-9470-fa73-a76842110657/197190326987.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/screaming-steel/1719693546;Screaming Steel;https://music.apple.com/us/artist/durbin/434899598;Durbin;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/ae/a6/00/aea6006e-5876-342b-ffdd-734a244cb878/612789664511.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/a-giant-bound-to-fall/1716432100;A Giant Bound to Fall;https://music.apple.com/us/artist/eternal-storm/843621835;Eternal Storm;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/64/00/e9/6400e97a-d682-5c0e-a77a-de06e5c519fd/cover.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/save-our-souls/1715465638;Save Our Souls;https://music.apple.com/us/artist/sujin/1715460839;Sujin;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/52/42/7d/52427d1c-0dba-e885-159f-694e2de9daae/656191956321.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/the-end-of-my-road/1705978774;The End Of My Road;https://music.apple.com/us/artist/far-beyond/315248507;Far Beyond;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/58/9e/81/589e81b2-3b54-3df6-88eb-9dc4dc23f97b/197189331459.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/all-out-of-dreams/1699204214;All Out of Dreams;https://music.apple.com/us/artist/bokassa/356879165;Bokassa;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/04/a7/3c/04a73c10-a313-34f2-7b51-04f71202409c/5401148003161_cover.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/ihsahn-orchestral-version/1698595184;IHSAHN (Orchestral Version);https://music.apple.com/us/artist/ihsahn/152674496;Ihsahn;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/a3/45/15/a3451545-fa93-494a-6d98-2c82ca4a3ce8/197190352566.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/suffocating-in-the-current-of-time/1715488454;Suffocating In The Current Of Time;https://music.apple.com/us/artist/praise-the-plague/1406292769;Praise the Plague;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/3a/08/38/3a0838bd-7496-a17f-3a7f-02e20f3eb511/196871545693.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/the-congregation-acoustic-live/1718583664;The Congregation Acoustic (Live);https://music.apple.com/us/artist/einar-solberg/452416052;Einar Solberg;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/85/a7/75/85a775f8-8abf-49e6-5855-863c2e3c7c8d/810135716680.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/passage-live/1715909400;Passage (Live);https://music.apple.com/us/artist/samael/73170022;Samael;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/18/8b/ab/188bab4c-eed3-b142-a600-f35b53a73a82/cover.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/solar-clorex/1719151004;Solar Clorex;https://music.apple.com/us/artist/pestilength/1629581302;Pestilength;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/64/8d/62/648d62ff-0294-b747-a035-bc1217f59b59/822603177404.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/fire-blades-from-the-tomb/1717660429;Fire Blades From The Tomb;https://music.apple.com/us/artist/ponte-del-diavolo/1639072320;Ponte del Diavolo;2024-02-16 00:00:00;February 16, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/c0/3c/c0/c03cc0f8-baf9-12d0-ab21-8bfbc1b5372d/2207.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/life-promised-death/1716323337;Life Promised Death;https://music.apple.com/us/artist/farsot/268670270;Farsot;2024-02-16 00:00:00;February 16, 2024
