mp3tagArtist;mp3tagGenre;mainArtist;mainId;downloaded
Despised Icon;Deathcore;Despised Icon;64636070;2026-02-06 09:19:33
Dethklok;Melodic Death Metal;Dethklok;264135825;2026-02-06 09:19:38
Dev;Pop;;0;
Devil You Know;Metalcore;Devil You Know;835108921;2026-02-06 09:19:42
Devilment;Gothic Metal;Devilment;913655238;2026-02-06 09:19:46
Devin Townsend;Progressive Metal;Devin Townsend;30462631;2026-02-06 09:19:51
Devin Townsend;Progressive Metal;Devin Townsend Project;337438756;2026-02-06 09:19:55
DGM;Progressive Metal;DGM;1477263754;2026-02-06 09:20:00
Diabulus in Musica;Symphonic Metal;Diabulus in Musica;365991611;2026-02-06 09:20:04
Diamond Head;Heavy Metal;Diamond Head;7278795;2026-02-06 09:20:08
Die Allergie;Industrial Metal;;0;
Die Antwoord;Rave;Die Antwoord;380615226;2026-02-06 09:20:13
Die Krupps;Industrial Metal;Die Krupps;6516629;2026-02-06 09:20:18
Dimmu Borgir;Symphonic Black Metal;Dimmu Borgir;15621683;2026-02-06 09:20:22
Dio;Heavy Metal;Dio;2779392;2026-02-06 09:20:27
Dir En Grey;Progressive Metal;Dir En Grey;83870278;2026-02-06 09:20:32
Dirty Black Summer;Metal;Dirty Black Summer;1562899607;2026-02-06 09:20:36
Disciple;Alternative;Disciple;18284287;2026-02-06 09:20:41
Disturbed;Alternative;Disturbed;156807;2026-02-06 09:20:46
Divine Heresy;Metalcore;Divine Heresy;259887061;2026-02-06 09:20:51
DJ Fresh;EDM;DJ Fresh;28623702;2026-02-06 09:20:56
DJ Khaled;Hip-Hop;DJ Khaled;157749142;2026-02-06 09:21:02
DJ Pimp & MC Hustla;Hip-Hop;;0;
Doja Cat;Pop;Doja Cat;830588310;2026-02-06 09:21:08
Dominum;Power Metal;Dominum;1705431963;2026-02-06 09:21:12
Don Broco;Alternative;Don Broco;307317604;2026-02-06 09:21:17
Dorothy;Hard Rock;Dorothy;952845940;2026-02-06 09:21:22
Downset;Rap Metal;Downset;373967;2026-02-06 09:21:26
Dr. Dre;Rap;Dr. Dre;35315;2026-02-06 09:21:31
Draconian;Gothic Metal;Draconian;46934953;2026-02-06 09:21:35
DragonForce;Power Metal;DragonForce;3261249;2026-02-06 09:21:40
Drake;Rap;Drake;271256;2026-02-06 09:21:48
Dream Theater;Progressive Metal;Dream Theater;730091;2026-02-06 09:21:52
Dream Widow;Thrash Metal;Dream Widow;1609700595;2026-02-06 09:21:56
Drowning Pool;Alternative;Drowning Pool;95701594;2026-02-06 09:22:01
Dua Lipa;Pop;Dua Lipa;1031397873;2026-02-06 09:22:07
DVSR;Rap Metal;DVSR;1057505755;2026-02-06 09:22:12
Dying Wish;Metalcore;Dying Wish;1405075680;2026-02-06 09:22:16
Dynazty;Heavy Metal;Dynazty;326752603;2026-02-06 09:22:21
E-Rotic;Pop;;0;
Earthside;Progressive Metal;Earthside;1044809006;2026-02-06 09:22:25
Eclipse;Hard Rock;Eclipse;958038395;2026-02-06 09:22:29
Edge of Paradise;Alternative;Edge of Paradise;430613575;2026-02-06 09:22:33
Einherjer;Folk Metal;Einherjer;54687228;2026-02-06 09:22:38
Ektomorf;Groove Metal;Ektomorf;15621603;2026-02-06 09:22:42
Electric Callboy;Metalcore;Electric Callboy;387883325;2026-02-06 09:22:47
Element Eighty;Nu Metal;Element Eighty;3276488;2026-02-06 09:22:51
Ellefson;Metal;Ellefson;251691375;2026-02-06 09:22:56
Eluveitie;Folk Metal;Eluveitie;269358403;2026-02-06 09:23:00
Elwood Stray;Metalcore;Elwood Stray;1110032029;2026-02-06 09:23:04
Emigrate;Industrial Metal;Emigrate;261362717;2026-02-06 09:23:09
Emil Bulls;Alternative;Emil Bulls;13432035;2026-02-06 09:23:13
Eminem;Rap;Eminem;111051;2026-02-06 09:23:20
Enter Shikari;Alternative;Enter Shikari;179865613;2026-02-06 09:23:25
